transaction_id,product_type,region,amount,transaction_date
121,Renters,South,12.15,2024-08-07
122,Renters,West,21.97,2024-12-26
123,Renters,South,15.09,2025-05-19
124,Renters,Midwest,23.29,2024-04-26
125,Flood,Northeast,292.02,2024-05-28
126,Renters,West,23.95,2024-08-14
127,Renters,Northeast,14.16,2024-10-31
128,Renters,South,20.16,2024-09-15
129,Homeowners,Northeast,171.07,2024-12-23
130,Renters,South,15.61,2024-12-13
131,Renters,South,14.98,2025-06-23
132,Renters,West,24.82,2025-05-16
133,Renters,Midwest,17.35,2025-04-05
134,Renters,Northeast,23.84,2024-09-09
135,Homeowners,South,193.59,2025-03-25
136,Renters,West,19.17,2024-01-05
137,Renters,South,22.54,2024-08-11
138,Flood,South,233.64,2024-08-04
139,Flood,South,257.16,2025-09-01
140,Renters,Northeast,12.18,2025-06-01
141,Renters,South,21.75,2025-03-12
142,Renters,South,21.84,2024-03-23
143,Renters,South,13.68,2024-02-20
144,Renters,Midwest,23.42,2025-05-02
145,Renters,Midwest,13.48,2024-06-02
146,Renters,South,22.81,2024-11-01
147,Homeowners,South,192.07,2025-02-04
148,Renters,Northeast,21.82,2025-07-31
149,Homeowners,West,196.29,2024-11-01
150,Renters,South,17.69,2025-03-22
151,Renters,South,17.86,2024-11-30
152,Renters,South,23.21,2024-05-12
153,Renters,South,22.95,2025-05-22
154,Renters,Northeast,20.07,2025-03-25
155,Renters,South,15.12,2024-04-20
156,Renters,Northeast,13.97,2025-01-08
157,Renters,Northeast,21.05,2024-10-07
158,Homeowners,South,200.07,2024-03-01
159,Renters,Northeast,14.2,2025-08-26
160,Renters,Northeast,19.13,2024-08-20
161,Renters,West,13.67,2024-03-13
162,Renters,South,20.94,2024-02-25
163,Homeowners,West,154.58,2024-01-26
164,Homeowners,Northeast,194.8,2024-10-29
165,Renters,South,20.04,2024-03-18
166,Renters,West,12.48,2024-11-07
167,Renters,South,22.98,2024-12-28
168,Renters,Northeast,17.82,2024-01-15
169,Renters,South,14.37,2024-02-08
170,Renters,Midwest,16.26,2025-06-20
171,Homeowners,South,200.93,2024-03-07
172,Renters,South,19.59,2025-04-14
173,Renters,West,17.61,2025-08-17
174,Renters,Midwest,23.7,2024-11-15
175,Renters,Midwest,24.82,2025-01-11
176,Renters,Northeast,13.99,2025-05-17
177,Renters,West,13.14,2024-12-15
178,Renters,West,13.04,2024-08-30
179,Renters,South,24.96,2024-01-06
180,Renters,West,23.25,2024-04-27
181,Renters,Northeast,20.69,2025-03-16
182,Renters,South,18.2,2024-06-21
183,Renters,Northeast,16.21,2024-08-12
184,Renters,South,21.19,2024-11-15
185,Renters,South,24.12,2024-09-15
186,Renters,Midwest,13.75,2024-06-20
187,Renters,South,13.14,2024-11-14
188,Renters,West,19.74,2025-07-03
189,Renters,Midwest,24.08,2024-11-13
190,Renters,South,24.13,2025-04-03
191,Homeowners,Midwest,154.99,2024-10-22
192,Renters,Northeast,22.16,2024-08-16
193,Renters,Northeast,14.14,2024-01-05
194,Renters,South,23.8,2025-08-23
195,Homeowners,South,211.24,2024-10-21
196,Renters,West,20.11,2024-01-23
197,Renters,South,16.62,2025-05-17
198,Renters,Northeast,14.98,2024-02-08
199,Renters,West,20.16,2025-07-07
200,Renters,West,20.06,2025-04-22
201,Homeowners,West,161.38,2024-04-06
202,Renters,West,13.86,2024-07-14
203,Renters,West,23.4,2024-04-27
204,Homeowners,Northeast,213.48,2024-08-03
205,Renters,South,19.02,2024-06-05
206,Renters,South,21.36,2024-04-04
207,Renters,South,21.31,2024-10-09
208,Renters,Northeast,23.81,2025-07-03
209,Renters,South,15.74,2024-12-28
210,Renters,South,18.58,2025-09-14
211,Renters,South,13.33,2024-11-19
212,Renters,Northeast,20.47,2025-08-26
213,Renters,Northeast,13.01,2025-04-06
214,Homeowners,West,183.81,2025-09-04
215,Flood,South,68.04,2024-01-01
216,Homeowners,South,194.35,2025-03-06
217,Renters,Midwest,22.44,2024-04-26
218,Renters,Northeast,17.39,2025-08-24
219,Homeowners,Midwest,176.02,2025-02-21
220,Homeowners,South,152.46,2024-06-27
221,Renters,South,14.15,2025-05-15
222,Homeowners,Midwest,193.54,2024-06-04
223,Renters,South,24.68,2024-12-26
224,Renters,South,13.11,2024-12-25
225,Renters,South,12.87,2024-08-02
226,Renters,West,16.54,2024-10-11
227,Renters,South,22.88,2024-01-19
228,Renters,West,17.89,2024-07-12
229,Renters,South,18.46,2024-09-20
230,Homeowners,West,178.0,2025-04-02
231,Homeowners,South,210.06,2024-02-24
232,Renters,South,20.57,2024-11-08
233,Renters,Midwest,20.73,2024-11-23
234,Renters,West,14.32,2025-08-31
235,Renters,South,22.47,2024-03-28
236,Renters,West,22.79,2025-03-27
237,Homeowners,Northeast,180.48,2024-01-07
238,Renters,South,23.03,2025-09-15
239,Renters,South,17.48,2025-05-28
240,Homeowners,South,175.19,2025-01-20
241,Renters,Northeast,22.8,2024-09-12
242,Renters,South,15.83,2025-05-14
243,Flood,South,65.27,2024-06-06
244,Renters,West,22.4,2024-04-24
245,Renters,West,21.08,2024-10-07
246,Renters,Northeast,22.85,2024-01-04
247,Renters,West,20.99,2024-03-15
248,Homeowners,South,211.13,2024-02-10
249,Renters,South,20.47,2025-01-12
250,Renters,Northeast,13.82,2024-01-27
251,Homeowners,West,194.81,2024-09-24
252,Renters,South,19.45,2025-02-04
253,Renters,South,18.75,2025-07-29
254,Renters,West,14.4,2024-10-18
255,Renters,Northeast,22.88,2024-01-11
256,Renters,South,15.86,2024-08-14
257,Homeowners,South,221.56,2025-02-09
258,Renters,Midwest,12.41,2024-05-27
259,Renters,West,23.0,2025-05-21
260,Renters,Midwest,22.02,2025-05-15
261,Renters,Midwest,17.37,2024-03-01
262,Renters,South,15.2,2024-05-10
263,Renters,Northeast,24.58,2024-04-11
264,Renters,Midwest,13.19,2024-01-17
265,Flood,South,84.06,2024-11-13
266,Flood,South,204.32,2024-03-21
267,Renters,South,23.04,2025-06-20
268,Homeowners,South,201.99,2025-05-03
269,Homeowners,Northeast,202.92,2025-02-04
270,Renters,South,23.9,2024-11-30
271,Renters,Midwest,24.02,2025-05-12
272,Renters,West,21.69,2025-01-06
273,Homeowners,Midwest,212.17,2024-09-29
274,Renters,Midwest,19.29,2024-04-07
275,Homeowners,South,183.08,2024-12-29
276,Renters,West,19.0,2025-01-31
277,Renters,West,20.01,2025-03-25
278,Renters,West,12.28,2024-05-20
279,Renters,West,12.91,2024-01-29
280,Renters,South,18.24,2024-09-28
281,Homeowners,West,207.62,2024-12-24
282,Renters,South,12.04,2025-03-04
283,Renters,Midwest,15.85,2024-10-19
284,Renters,Northeast,24.84,2025-08-07
285,Renters,South,13.62,2024-07-05
286,Homeowners,West,156.71,2025-03-15
287,Homeowners,South,217.78,2024-08-13
288,Renters,West,15.01,2025-07-28
289,Renters,West,13.56,2024-04-16
290,Renters,Midwest,14.42,2024-09-15
291,Homeowners,West,197.23,2025-06-04
292,Homeowners,West,163.04,2025-05-04
293,Renters,South,24.95,2024-01-03
294,Homeowners,Midwest,166.79,2024-03-29
295,Renters,South,13.19,2025-09-08
296,Renters,Midwest,18.2,2024-07-13
297,Flood,South,249.52,2024-02-09
298,Homeowners,South,171.1,2024-05-03
299,Renters,Midwest,21.4,2025-08-24
300,Renters,West,13.42,2025-08-15
301,Renters,West,18.71,2024-04-24
302,Homeowners,Midwest,200.85,2024-10-15
303,Homeowners,West,199.38,2024-12-18
304,Renters,Northeast,16.34,2025-07-10
305,Renters,South,20.04,2025-02-25
306,Renters,West,24.5,2024-01-31
307,Homeowners,Northeast,175.13,2025-07-04
308,Renters,West,22.82,2025-06-07
309,Renters,Midwest,20.02,2024-04-22
310,Renters,Northeast,16.9,2025-03-23
311,Renters,West,13.39,2025-02-17
312,Renters,South,22.92,2025-02-15
313,Renters,West,13.33,2024-07-14
314,Renters,West,24.31,2024-07-10
315,Renters,Northeast,19.57,2024-01-22
316,Renters,Northeast,23.33,2024-10-11
317,Renters,South,19.73,2025-04-04
318,Renters,Northeast,16.21,2024-03-19
319,Homeowners,Midwest,150.08,2025-04-26
320,Renters,West,17.54,2025-01-31
321,Homeowners,South,211.94,2024-03-15
322,Renters,Northeast,20.85,2024-01-22
323,Renters,West,24.52,2025-03-15
324,Renters,West,17.46,2024-03-24
325,Renters,Midwest,24.79,2024-09-13
326,Renters,South,21.7,2024-06-11
327,Renters,South,16.79,2024-09-27
328,Renters,South,14.07,2025-08-27
329,Renters,West,22.98,2024-07-17
330,Renters,Northeast,12.42,2025-01-12
331,Renters,West,18.26,2024-07-24
332,Renters,South,15.22,2025-06-04
333,Renters,South,12.83,2025-05-15
334,Renters,West,16.03,2024-03-12
335,Renters,South,17.14,2025-05-09
336,Renters,Midwest,21.03,2024-04-11
337,Homeowners,South,206.19,2025-07-06
338,Renters,West,13.85,2025-08-14
339,Renters,Midwest,16.5,2024-08-29
340,Renters,South,13.14,2025-08-11
341,Renters,South,13.73,2024-03-30
342,Renters,West,14.6,2025-03-03
343,Renters,South,21.18,2024-01-09
344,Homeowners,Northeast,190.6,2025-01-04
345,Homeowners,West,196.9,2024-03-24
346,Renters,West,13.04,2024-03-24
347,Renters,South,22.19,2025-05-29
348,Renters,Northeast,17.7,2024-01-12
349,Renters,Northeast,23.33,2024-05-01
350,Renters,South,21.68,2025-09-22
351,Renters,Northeast,14.1,2025-07-02
352,Flood,West,207.34,2024-02-04
353,Renters,South,14.65,2024-11-27
354,Renters,West,17.41,2024-01-24
355,Renters,Midwest,16.82,2025-06-15
356,Renters,South,18.68,2025-09-08
357,Renters,South,18.33,2025-07-31
358,Renters,West,20.52,2025-01-05
359,Renters,Midwest,16.99,2025-06-13
360,Renters,South,13.71,2025-06-03
361,Renters,South,20.22,2025-06-09
362,Flood,Midwest,261.41,2025-07-06
363,Renters,West,17.79,2025-05-18
364,Renters,South,13.24,2024-05-24
365,Renters,West,15.36,2024-08-16
366,Renters,South,19.78,2024-10-27
367,Renters,Midwest,23.49,2025-09-21
368,Renters,South,16.38,2024-12-26
369,Renters,Midwest,20.02,2025-05-27
370,Renters,Midwest,16.93,2024-04-16
371,Renters,South,18.17,2025-05-11
372,Renters,South,23.23,2025-09-11
373,Renters,Northeast,24.83,2025-05-25
374,Renters,Northeast,20.32,2024-02-04
375,Renters,West,16.11,2024-07-24
376,Renters,South,18.24,2024-09-07
377,Renters,West,20.31,2024-07-03
378,Renters,Midwest,18.78,2025-03-03
379,Renters,Northeast,13.73,2024-11-03
380,Renters,Midwest,20.75,2024-12-06
381,Renters,South,17.77,2025-05-31
382,Flood,South,210.33,2024-04-28
383,Homeowners,South,187.29,2024-05-24
384,Homeowners,West,207.64,2024-12-10
385,Renters,South,14.8,2024-02-22
386,Renters,South,16.53,2025-07-28
387,Flood,South,265.75,2025-08-07
388,Renters,Midwest,13.42,2025-09-01
389,Renters,Midwest,20.68,2025-03-29
390,Homeowners,West,173.79,2024-12-30
391,Homeowners,Northeast,190.84,2025-08-23
392,Renters,South,19.93,2024-05-22
393,Renters,South,17.83,2024-10-31
394,Renters,South,12.19,2024-09-23
395,Renters,South,20.05,2024-01-03
396,Renters,West,23.01,2025-09-20
397,Homeowners,Northeast,161.17,2024-10-30
398,Renters,South,19.9,2024-12-08
399,Homeowners,South,221.66,2024-01-21
400,Renters,Northeast,20.42,2024-05-03
401,Flood,South,135.72,2024-11-19
402,Homeowners,Midwest,157.61,2025-01-07
403,Renters,Midwest,22.44,2024-10-17
404,Renters,Northeast,21.33,2024-01-02
405,Renters,South,13.58,2025-04-03
406,Renters,West,22.4,2024-06-07
407,Renters,Northeast,19.38,2024-10-24
408,Homeowners,South,156.53,2025-01-19
409,Renters,South,13.46,2024-05-20
410,Renters,West,23.49,2024-01-26
411,Renters,South,17.34,2025-09-28
412,Homeowners,South,191.75,2024-10-19
413,Renters,South,23.07,2024-06-15
414,Renters,Northeast,20.11,2025-03-14
415,Renters,Northeast,21.58,2024-08-13
416,Renters,South,14.32,2025-02-22
417,Renters,South,15.02,2025-08-12
418,Renters,Northeast,13.84,2024-11-15
419,Renters,South,17.26,2025-01-08
420,Renters,South,12.21,2024-10-06
421,Renters,Northeast,21.42,2025-07-07
422,Homeowners,West,169.87,2024-12-18
423,Renters,South,16.77,2024-03-10
424,Renters,Northeast,18.75,2025-05-31
425,Renters,South,15.52,2025-07-15
426,Renters,Midwest,17.94,2024-12-07
427,Renters,West,20.6,2024-07-27
428,Flood,South,123.4,2025-03-17
429,Flood,Midwest,217.85,2024-11-06
430,Renters,Northeast,17.85,2024-01-12
431,Renters,South,22.34,2025-06-25
432,Renters,South,13.98,2025-05-31
433,Renters,West,15.17,2024-10-12
434,Renters,South,13.16,2024-06-09
435,Renters,South,14.07,2025-05-23
436,Renters,Midwest,15.42,2025-07-31
437,Renters,Midwest,15.11,2025-03-24
438,Renters,South,17.81,2024-07-14
439,Homeowners,Northeast,208.97,2024-05-22
440,Flood,South,90.26,2024-08-26
441,Renters,South,20.16,2024-06-06
442,Homeowners,West,210.44,2024-01-07
443,Renters,Northeast,17.24,2025-07-31
444,Renters,Midwest,24.45,2024-09-22
445,Homeowners,Northeast,214.65,2024-06-12
446,Renters,Northeast,23.68,2024-08-25
447,Renters,South,17.18,2024-01-25
448,Renters,Northeast,18.22,2025-06-20
449,Renters,Northeast,22.1,2024-05-07
450,Renters,Midwest,18.58,2025-03-22
451,Renters,Midwest,20.05,2024-02-29
452,Renters,South,19.34,2024-12-10
453,Renters,West,12.75,2024-02-25
454,Renters,South,14.22,2024-05-28
455,Renters,Midwest,13.31,2024-03-20
456,Renters,South,20.23,2025-07-05
457,Homeowners,South,172.97,2025-02-23
458,Renters,South,13.7,2025-09-19
459,Renters,South,16.61,2024-06-03
460,Renters,West,21.54,2025-08-20
461,Flood,Midwest,70.46,2025-02-08
462,Renters,Midwest,21.88,2025-02-26
463,Renters,Midwest,22.85,2025-05-07
464,Flood,South,289.29,2024-06-12
465,Renters,Midwest,20.4,2024-11-03
466,Renters,Northeast,13.65,2025-06-29
467,Renters,South,18.19,2025-03-11
468,Homeowners,South,221.72,2025-09-16
469,Flood,South,118.58,2024-05-08
470,Homeowners,Northeast,170.95,2024-08-29
471,Renters,West,18.0,2024-07-18
472,Renters,West,17.86,2024-06-21
473,Renters,South,18.66,2024-04-10
474,Renters,Northeast,21.7,2025-01-19
475,Renters,Northeast,12.16,2024-05-27
476,Renters,Midwest,15.85,2025-03-11
477,Renters,South,14.41,2025-05-05
478,Renters,South,22.8,2025-06-03
479,Renters,Northeast,13.07,2024-08-07
480,Homeowners,West,167.09,2024-11-24
481,Renters,Midwest,13.58,2025-01-16
482,Renters,Northeast,24.48,2024-04-28
483,Renters,West,22.38,2025-05-02
484,Renters,South,23.96,2024-10-14
485,Renters,Northeast,12.57,2024-09-29
486,Homeowners,Midwest,177.91,2024-05-03
487,Renters,Northeast,15.56,2024-06-20
488,Renters,West,20.4,2024-05-01
489,Homeowners,West,213.49,2024-08-20
490,Renters,South,14.87,2025-09-29
491,Homeowners,South,208.23,2024-08-23
492,Renters,Midwest,21.79,2024-12-10
493,Homeowners,Northeast,162.36,2025-06-24
494,Renters,Northeast,24.55,2025-04-07
495,Renters,West,21.53,2025-02-24
496,Renters,South,15.87,2024-01-19
497,Renters,Northeast,19.5,2024-10-07
498,Renters,Northeast,18.0,2025-08-06
499,Renters,South,24.89,2024-04-13
500,Renters,West,20.55,2025-04-17
501,Renters,South,20.01,2024-03-06
502,Renters,West,19.2,2025-08-20
503,Homeowners,West,212.45,2024-01-14
504,Renters,West,20.82,2024-03-10
505,Homeowners,West,177.62,2025-01-15
506,Renters,West,14.82,2024-06-02
507,Renters,South,21.04,2025-02-08
508,Renters,Northeast,14.36,2024-01-20
509,Renters,West,18.63,2025-05-29
510,Renters,South,19.3,2025-06-19
511,Renters,West,15.51,2024-02-29
512,Renters,South,13.94,2024-04-18
513,Renters,West,14.73,2024-01-19
514,Renters,Northeast,16.27,2024-07-01
515,Renters,South,12.81,2025-04-20
516,Renters,West,24.13,2024-06-09
517,Renters,South,22.21,2025-02-02
518,Renters,West,16.99,2024-05-16
519,Flood,Midwest,184.87,2024-05-17
520,Renters,Northeast,12.31,2024-09-10
521,Renters,South,24.09,2025-07-16
522,Homeowners,Midwest,182.22,2025-08-03
523,Homeowners,Midwest,210.2,2024-03-14
524,Homeowners,South,197.34,2025-09-29
525,Renters,South,17.68,2024-11-08
526,Renters,Northeast,14.93,2024-12-29
527,Renters,West,20.54,2025-07-01
528,Renters,Midwest,12.58,2024-12-07
529,Renters,Midwest,23.78,2025-09-23
530,Flood,South,148.66,2024-07-23
531,Renters,Northeast,23.09,2025-09-10
532,Renters,West,13.81,2024-07-14
533,Renters,West,13.12,2025-02-02
534,Renters,South,24.52,2024-07-17
535,Renters,West,22.24,2024-05-21
536,Renters,West,15.33,2024-05-10
537,Renters,Midwest,16.4,2025-01-05
538,Flood,South,127.62,2025-02-28
539,Renters,South,17.43,2024-11-22
540,Renters,South,24.75,2025-07-26
541,Homeowners,South,155.08,2025-08-20
542,Renters,South,14.94,2025-09-01
543,Renters,Northeast,24.29,2024-04-21
544,Renters,Northeast,23.21,2025-03-10
545,Renters,South,12.81,2024-10-20
546,Homeowners,South,153.9,2025-07-14
547,Renters,Midwest,14.14,2025-01-17
548,Renters,West,12.23,2024-07-31
549,Renters,Northeast,15.32,2025-01-15
550,Renters,West,22.04,2025-03-22
551,Renters,Northeast,16.47,2024-02-13
552,Renters,South,13.37,2025-03-11
553,Renters,South,13.21,2024-11-02
554,Renters,Northeast,13.22,2025-05-22
555,Renters,South,20.25,2025-07-20
556,Renters,Midwest,23.66,2024-07-28
557,Renters,South,22.31,2025-01-21
558,Renters,West,14.2,2025-04-30
559,Renters,Midwest,14.39,2025-09-04
560,Renters,West,16.07,2024-12-31
561,Renters,West,22.45,2024-01-16
562,Flood,South,67.44,2024-09-25
563,Renters,West,24.74,2025-07-24
564,Renters,Northeast,19.28,2024-12-18
565,Renters,West,14.73,2024-08-14
566,Renters,West,22.65,2025-03-09
567,Renters,West,24.84,2025-03-25
568,Homeowners,South,176.83,2024-08-13
569,Homeowners,West,189.41,2024-10-03
570,Renters,Northeast,21.35,2025-06-29
571,Renters,South,21.73,2024-10-05
572,Renters,Midwest,22.94,2024-10-15
573,Renters,South,16.23,2024-09-04
574,Renters,Northeast,23.12,2024-05-03
575,Flood,Northeast,55.43,2025-08-01
576,Renters,South,15.97,2024-07-09
577,Renters,West,17.31,2025-04-04
578,Renters,West,12.77,2024-07-25
579,Renters,West,20.72,2025-02-10
580,Renters,South,16.93,2024-05-21
581,Homeowners,South,178.53,2025-06-25
582,Homeowners,South,151.35,2025-02-27
583,Renters,West,15.64,2024-03-23
584,Flood,South,220.32,2024-10-10
585,Renters,West,21.45,2025-09-27
586,Homeowners,Midwest,215.46,2025-02-01
587,Renters,Northeast,12.89,2025-04-09
588,Renters,Northeast,18.09,2024-03-29
589,Homeowners,Northeast,166.98,2024-11-29
590,Renters,Northeast,23.74,2025-05-28
591,Renters,South,23.6,2024-05-06
592,Renters,South,22.9,2025-03-07
593,Renters,South,24.94,2025-07-15
594,Renters,South,15.28,2024-07-19
595,Homeowners,South,212.2,2025-04-24
596,Renters,South,17.6,2024-11-27
597,Homeowners,South,160.31,2024-01-26
598,Renters,Northeast,24.33,2025-07-03
599,Renters,South,15.09,2025-03-30
600,Renters,Midwest,22.23,2025-08-01
601,Renters,West,19.81,2024-12-26
602,Renters,South,12.92,2025-07-26
603,Renters,Northeast,13.82,2025-01-14
604,Renters,South,18.15,2025-02-27
605,Renters,South,18.17,2024-02-18
606,Renters,Midwest,12.48,2025-08-24
607,Renters,South,14.84,2025-09-09
608,Renters,West,17.16,2025-07-02
609,Renters,West,18.91,2025-07-24
610,Renters,West,18.42,2025-05-08
611,Flood,Northeast,107.8,2024-01-01
612,Renters,South,23.47,2024-04-18
613,Renters,Midwest,22.71,2024-04-12
614,Flood,South,263.66,2024-06-22
615,Renters,Midwest,12.77,2024-11-19
616,Renters,South,16.8,2025-02-15
617,Renters,West,17.26,2024-02-10
618,Homeowners,South,200.9,2025-03-25
619,Homeowners,South,187.66,2025-07-16
620,Homeowners,South,215.53,2024-03-24
621,Renters,West,18.89,2025-01-21
622,Renters,Northeast,12.15,2024-09-24
623,Renters,South,19.5,2024-12-22
624,Renters,South,16.46,2024-10-05
625,Homeowners,Northeast,179.05,2024-04-16
626,Renters,South,15.58,2025-09-25
627,Renters,Midwest,17.0,2024-07-13
628,Homeowners,West,182.32,2024-12-25
629,Homeowners,Northeast,177.75,2024-04-27
630,Renters,South,16.87,2025-03-15
631,Renters,South,12.58,2024-07-11
632,Homeowners,Midwest,188.79,2025-02-22
633,Renters,Northeast,17.33,2025-07-29
634,Renters,Midwest,14.83,2024-07-22
635,Renters,Northeast,14.18,2025-03-09
636,Renters,Northeast,18.57,2024-03-15
637,Renters,Northeast,14.72,2024-12-28
638,Renters,Northeast,12.3,2024-05-04
639,Renters,Midwest,23.7,2024-05-04
640,Renters,South,18.16,2024-07-19
641,Flood,South,289.7,2025-05-14
642,Renters,West,22.06,2024-03-09
643,Renters,South,19.04,2025-01-13
644,Homeowners,Midwest,212.01,2024-04-18
645,Renters,Northeast,16.45,2025-06-16
646,Flood,South,127.03,2025-08-26
647,Renters,West,13.96,2024-05-18
648,Renters,West,21.55,2024-04-13
649,Renters,West,18.0,2025-06-03
650,Renters,South,19.06,2024-03-04
651,Renters,South,16.59,2025-07-12
652,Homeowners,Northeast,209.29,2025-04-20
653,Renters,South,18.07,2025-06-07
654,Flood,West,170.92,2025-09-11
655,Renters,West,19.65,2024-08-15
656,Renters,Midwest,21.9,2025-02-02
657,Renters,West,16.71,2025-04-09
658,Homeowners,West,180.57,2024-12-30
659,Renters,West,12.77,2024-12-02
660,Homeowners,West,154.68,2024-11-18
661,Renters,South,20.15,2024-10-13
662,Renters,West,24.08,2025-07-19
663,Renters,South,20.38,2024-07-22
664,Homeowners,Midwest,165.8,2024-02-26
665,Renters,West,14.61,2024-04-22
666,Renters,Northeast,12.57,2024-10-18
667,Homeowners,South,160.71,2024-07-06
668,Renters,West,23.0,2024-07-12
669,Renters,South,21.4,2025-01-18
670,Renters,Northeast,15.98,2025-08-06
671,Renters,West,24.32,2024-10-16
672,Renters,Northeast,23.3,2024-03-06
673,Renters,South,22.33,2024-12-23
674,Renters,Northeast,17.24,2024-04-20
675,Renters,West,17.22,2024-08-02
676,Homeowners,South,217.96,2024-08-18
677,Renters,Midwest,20.33,2025-03-12
678,Renters,Midwest,17.41,2024-10-07
679,Renters,West,18.54,2025-03-21
680,Renters,West,19.21,2024-06-08
681,Renters,South,15.05,2024-02-22
682,Homeowners,South,189.01,2024-07-23
683,Homeowners,South,180.11,2024-10-16
684,Renters,South,12.71,2025-07-14
685,Renters,Northeast,18.64,2024-06-02
686,Renters,South,23.64,2024-03-28
